filename,epidemiology,Covid,crowd,Given,a,numWord
32305438.txt,0,0,0,0,11,848
32305440.txt,0,0,0,0,13,709
32305455.txt,0,0,0,0,134,10436
32309796.txt,4,0,0,0,104,5759
32332803.txt,0,0,0,0,114,5662
32343722.txt,0,0,0,0,147,9853
32347801.txt,0,0,5,0,149,11929
32348269.txt,0,0,1,0,25,5672
32349396.txt,0,0,2,0,84,6525
32359667.txt,0,0,0,0,39,4505
32365061.txt,0,0,0,0,216,15552
32366245.txt,0,0,1,0,102,4992
32374273.txt,0,0,0,0,131,9380
32399185.txt,0,0,0,0,75,5761
32409277.txt,0,0,0,0,86,7621
32430590.txt,0,0,1,0,127,8159
32454025.txt,1,0,0,0,29,2956
32462566.txt,0,0,0,0,16,1108
32469971.txt,1,0,2,0,183,14545
32491919.txt,0,0,0,0,67,4927
32493504.txt,0,0,0,0,38,2153
32517634.txt,0,0,4,0,132,7674
32520742.txt,0,0,0,0,67,3761
32520948.txt,0,0,0,0,164,10818
32527288.txt,6,0,1,0,147,9295
32527863.txt,0,0,1,0,22,1797
32528664.txt,1,0,1,0,59,6189
32553445.txt,0,0,0,0,15,1284
32555372.txt,1,0,9,0,229,12739
32558655.txt,1,0,0,0,48,4402
32559231.txt,0,0,4,0,128,9660
32561751.txt,0,0,1,0,176,10680
32582620.txt,0,0,0,0,30,1779
32589162.txt,1,0,1,0,47,7250
32600260.txt,0,0,0,0,99,5855
32602842.txt,0,0,2,0,106,8371
32602983.txt,0,0,0,0,56,5351
32605071.txt,0,0,4,0,229,17668
32615951.txt,2,0,0,0,78,5590
32618573.txt,0,0,7,0,188,9190
32639475.txt,0,0,0,0,114,8419
32644817.txt,0,0,0,0,129,6696
32646426.txt,0,0,1,0,58,5195
32658858.txt,4,0,0,0,64,5434
32708815.txt,0,0,6,0,177,9894
32758310.txt,0,0,0,0,77,7759
32760095.txt,0,0,0,0,183,18940
32760110.txt,0,0,0,0,97,16530
32777316.txt,0,0,0,0,2,149
32791286.txt,0,0,0,0,83,7963
32807565.txt,0,0,0,0,84,6410
32815899.txt,0,0,0,0,84,7685
32820171.txt,0,0,0,0,61,4857
32865499.txt,0,0,0,0,145,8003
32883264.txt,0,0,3,0,103,6833
32894340.txt,0,0,0,0,58,4454
32917513.txt,0,0,2,0,161,12654
32925966.txt,0,0,0,0,129,9997
32936811.txt,2,0,2,0,174,17752
32959618.txt,1,0,0,0,29,3881
32961307.txt,0,0,1,0,177,12131
32990755.txt,0,0,0,0,71,4820
32993542.txt,1,0,0,0,60,4472
32994447.txt,0,0,7,0,194,10326
32995894.txt,0,0,0,0,31,3390
33000365.txt,0,0,22,0,92,5234
33008867.txt,0,0,0,0,63,3494
33011343.txt,0,0,3,0,177,7406
33019277.txt,0,0,0,0,42,2817
33019946.txt,0,0,1,0,80,3733
33028407.txt,0,0,0,0,156,8925
33029638.txt,0,0,0,0,337,18969
33032614.txt,3,0,2,0,96,6540
33068424.txt,0,0,0,0,67,4628
33104206.txt,2,0,1,0,48,9445
33107566.txt,0,0,0,0,68,4759
33108314.txt,0,0,0,0,115,6977
33123589.txt,0,0,0,0,45,4784
33124984.txt,0,0,0,0,78,7119
33142160.txt,0,0,0,0,57,4109
33151158.txt,0,0,0,0,114,9390
33152038.txt,0,0,0,0,150,12965
33167927.txt,0,0,10,0,239,16936
33169169.txt,0,0,0,0,40,8057
33171275.txt,0,0,21,0,112,7288
33174857.txt,0,0,12,0,95,5908
33175285.txt,0,0,4,0,46,4881
33176786.txt,0,0,0,0,157,7172
33180844.txt,0,0,0,0,58,5434
33184391.txt,0,0,0,0,82,5558
33203133.txt,0,0,0,0,359,16093
33203449.txt,0,0,0,0,84,5705
33216790.txt,0,0,0,0,112,12164
33229556.txt,0,0,0,0,150,9406
33237278.txt,0,0,0,0,83,5013
33245018.txt,0,0,0,0,197,12761
33258966.txt,0,0,4,0,171,9622
33260862.txt,0,0,0,0,119,9790
33263554.txt,0,0,0,0,109,5650
33270122.txt,1,0,0,0,55,7297
33302253.txt,0,0,0,0,76,5262
33322465.txt,0,0,2,0,166,13403
33332455.txt,0,0,42,0,204,8278
33351776.txt,1,0,0,0,126,8466
33356641.txt,0,0,1,0,70,4386
33367502.txt,0,0,0,0,107,6369
33379262.txt,0,0,0,0,140,10611
33403779.txt,1,0,0,0,120,10219
33411827.txt,0,0,0,0,78,16024
33427882.txt,0,0,0,0,11,937
33441714.txt,0,0,0,0,220,9021
33449931.txt,0,0,0,0,153,12817
33461032.txt,0,0,0,0,94,7211
33465607.txt,0,0,0,0,98,7407
33471835.txt,0,0,1,0,109,15081
33492657.txt,0,0,0,0,4,3637
33497512.txt,0,0,2,0,201,17895
33503001.txt,3,0,1,0,131,8394
33522837.txt,0,0,0,0,45,7496
33523826.txt,0,0,0,0,70,6097
33559142.txt,0,0,0,0,19,985
33560698.txt,1,0,1,0,37,6488
33569913.txt,0,0,0,0,115,9200
33587985.txt,0,0,0,0,54,12344
33593964.txt,0,0,0,0,49,3578
33617554.txt,0,0,0,0,74,5678
33640326.txt,0,0,93,0,99,7088
33667930.txt,0,0,0,0,67,5136
33675595.txt,0,0,0,0,69,5395
33690668.txt,0,0,3,0,44,4839
33691000.txt,0,0,18,0,101,5460
33740412.txt,0,0,2,0,14,797
33745882.txt,0,0,0,0,130,9041
33751273.txt,0,0,5,0,93,6688
33754325.txt,0,0,2,0,71,6741
33755712.txt,0,0,5,0,172,12076
33762243.txt,1,0,9,0,48,3549
33768584.txt,0,0,0,0,38,3687
33771919.txt,0,0,0,0,267,10681
33782900.txt,0,0,3,0,161,7920
33787448.txt,0,0,0,0,66,8684
33791099.txt,0,0,0,0,80,4748
33820560.txt,0,0,1,0,112,6117
33822735.txt,0,0,0,0,23,3336
33828118.txt,0,0,61,0,147,8940
